18593,E,2005,12/10/2005,10,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,0,1,358,10,81,19,3,2,2,4,3,33,483
18593,E,2005,12/10/2005,11,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,2,0,440,11,68,21,2,4,2,3,6,38,557
18593,E,2005,12/10/2005,12,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,1,2,408,8,70,8,2,1,0,5,4,20,508
18593,E,2005,12/10/2005,13,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,0,2,525,12,71,11,4,4,2,2,5,28,638
18593,E,2005,12/10/2005,14,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,3,0,510,8,82,25,4,0,2,5,4,40,640
18593,E,2005,12/10/2005,15,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,0,1,662,17,43,9,6,1,1,2,6,25,748
18593,E,2005,12/10/2005,16,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,6,7,885,14,126,5,1,1,1,2,1,11,1043
18593,E,2005,12/10/2005,17,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,1,2,980,11,94,0,2,2,1,4,2,11,1098
18593,E,2005,12/10/2005,18,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,0,3,653,10,32,1,2,2,1,6,2,14,712
18593,W,2005,12/10/2005,7,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,3,7,950,9,118,13,1,2,1,1,3,21,1105
18593,W,2005,12/10/2005,8,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,3,2,825,10,58,17,1,3,0,6,4,31,926
18593,W,2005,12/10/2005,9,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,3,0,586,12,73,20,5,1,1,1,2,30,701
18593,W,2005,12/10/2005,10,11,North East,171,Redcar and Cleveland,A171,Major,A1043,A173,455000,515662,54.53325664,-1.15156771,4.1,2.55,2,1,439,8,73,13,3,0,2,6,2,26,547
